Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 문법 20과 1항 8단어|습관|||||habit|1590|매일 운동하는 습관을 기르고 있어요.|I'm developing a habit of exercising every day.
2급 읽이 14과 1항 10단어|청소년|||||adolescents or teenagers|1599|청소년들이 인터넷을 많이 사용해요.|Adolescents use the internet a lot.
2급 읽이 5과 2항 11단어|잃어버리다|잃어버려|잃어버립니다|잃어버린다|잃어버리면|to lose|1605|지갑을 잃어버려서 신용카드를 정지시켰어요.|I lost my wallet so I suspended my credit card.
2급 문법 11과 1항 21단어|깨다|깨어|깹니다|깬다|깨면|to wake up|1607|알람 소리에 깨어서 일어났어요.|I woke up to the sound of the alarm and got up.
2급 읽이 7과 2항 16단어|단순하다|단순해|단순합니다|단순하다|단순하면|to be simple|1618|이 문제는 생각보다 단순해요.|This problem is simpler than I thought.
2급 문법 7과 9항 4단어|단순하다|단순해|단순합니다|단순하다|단순하면|to be simple or plain|1618|단순한 디자인의 옷을 좋아해요.|I like clothes with simple designs.
2급 문법 19과 1항 4단어|시설|||||facility|1621|이 호텔은 편의 시설이 잘 되어 있어요.|This hotel has good facilities.
2급 읽이 3과 2항 7단어|풍경|||||scenery|1625|산에서 본 풍경이 아름다웠어요.|The scenery viewed from the mountain was beautiful.
2급 문법 9과 9항 15단어|세다|세어|셉니다|센다|세면|to count|1630|하나씩 세어 보세요.|Please count them one by one.
2급 읽이 1과 2항 19단어|학습|||||learning or study|1631|외국어 학습이 어렵지만 재미있어요.|Foreign language learning is difficult but interesting.
2급 읽이 16과 1항 2단어|붓다|부어|붓습니다|붓는다|부으면|to swell up|1651|벌에 쏘여서 손이 부었어요.|My hand swelled up because I was stung by a bee.
2급 읽이 16과 1항 15단어|차다|차|찹니다|찬다|차면|to be cold|1665|겨울 바람이 너무 차요.|The winter wind is too cold.
2급 문법 6과 9항 16단어|차다|차|찹니다|찬다|차면|to wear (a watch)|1665|새로 산 시계를 차고 나갔어요.|I went out wearing my newly bought watch.
2급 문법 3과 9항 2단어|부끄럽다|부끄러워|부끄럽습니다|부끄럽다|부끄러우면|to feel shameful or embarrassed|1673|실수를 해서 부끄러웠어요.|I felt embarrassed because I made a mistake.
2급 읽이 1과 1항 10단어|익숙하다|익숙해|익숙합니다|익숙하다|익숙하면|to be used to|1685|한국 생활에 익숙해졌어요.|I got used to life in Korea.
2급 읽이 16과 1항 10단어|넘어지다|넘어져|넘어집니다|넘어진다|넘어지면|to fall down|1704|빙판길에서 넘어져서 다쳤어요.|I fell down on the icy road and got hurt.
2급 읽이 3과 2항 14단어|물론|||||of course or undoubtedly|1723|물론 도와드릴게요.|Of course I'll help you.
2급 문법 17과 1항 12단어|달리다|달려|달립니다|달린다|달리면|to run|1725|매일 아침 공원에서 달려요.|I run in the park every morning.
2급 문법 16과 1항 11단어|푹|||||completely or entirely|1731|어젯밤에 푹 잤어요.|I slept soundly last night.
2급 문법 2과 8항 5단어|공무원|||||public service worker|1738|아버지는 공무원으로 일하세요.|My father works as a public service worker.
2급 문법 7과 8항 4단어|주머니|||||pocket|1742|바지 주머니에서 동전을 꺼냈어요.|I took out coins from my pants pocket.
2급 문법 20과 1항 21단어|끼다|껴|낍니다|낀다|끼면|to gather or envelop|1764|안개가 끼어서 앞이 잘 안 보여요.|Fog has gathered so I can't see ahead well.
2급 문법 1과 3항 8단어|직장|||||job|1766|새로운 직장을 구하고 있어요.|I'm looking for a new job.
2급 문법 18과 2항 12단어|중학교|||||middle school|1773|중학교 때부터 영어를 배웠어요.|I've been learning English since middle school.
2급 문법 11과 1항 25단어|서다|서|섭니다|선다|서면|to stand|1775|오래 서 있어서 다리가 아파요.|My legs hurt from standing for a long time.
2급 문법 12과 2항 1단어|신청하다|신청해|신청합니다|신청한다|신청하면|to apply|1787|장학금을 신청했어요.|I applied for a scholarship.
2급 문법 18과 2항 9단어|매년|||||every year|1788|매년 가족과 함께 여행을 가요.|I travel with my family every year.
2급 읽이 5과 1항 32단어|콘서트|||||concert|1822|좋아하는 가수의 콘서트에 갔어요.|I went to my favorite singer's concert.
2급 문법 20과 1항 17단어|최고|||||highest, best or maximum|1835|이 식당 음식이 최고예요.|This restaurant's food is the best.
2급 문법 10과 9항 1단어|부장|||||head of a department or director|1846|우리 부장님은 정말 친절하세요.|Our department head is really kind.
2급 읽이 10과 2항 17단어|신청|||||registration|1849|수강 신청을 했어요.|I did course registration.
2급 문법 5과 9항 21단어|꽂다|꽂아|꽂습니다|꽂는다|꽂으면|to stick (in/into)|1860|꽃병에 꽃을 꽂았어요.|I stuck flowers into the vase.
2급 문법 14과 1항 7단어|동영상|||||video file|1873|재미있는 동영상을 친구들과 공유했어요.|I shared an interesting video with my friends.
2급 문법 7과 2항 1단어|특별히|||||especially|1885|특별히 좋아하는 음식이 있어요.|There's food I especially like.
2급 문법 18과 1항 9단어|바깥|||||outside|1888|바깥 날씨가 너무 추워요.|The weather outside is too cold.
2급 읽이 9과 1항 11단어|무척|||||very or extremely|1892|오늘 시험이 무척 어려웠어요.|Today's exam was very difficult.
2급 읽이 3과 2항 4단어|외롭다|외로워|외롭습니다|외롭다|외로우면|to be lonely|1931|혼자 있으면 가끔 외로워요.|I sometimes feel lonely when I'm alone.
2급 문법 14과 2항 5단어|데려오다|데려와|데려옵니다|데려온다|데려오면|to bring someone|1937|친구를 파티에 데려왔어요.|I brought my friend to the party.
2급 읽이 4과 2항 9단어|동네|||||neighborhood|1938|우리 동네에는 공원이 많아요.|There are many parks in our neighborhood.
2급 읽이 20과 1항 7단어|불다|불어|붑니다|분다|불면|to blow|1947|바람이 세게 불고 있어요.|The wind is blowing strongly.
2급 문법 8과 9항 2단어|떡|||||rice cake|1962|설날에는 떡국을 먹어요.|We eat rice cake soup on New Year's Day.
2급 문법 7과 3항 14단어|만지다|만져|만집니다|만진다|만지면|to touch|1977|뜨거우니까 만지지 마세요.|Don't touch it because it's hot.
2급 읽이 5과 1항 11단어|양념|||||seasoning|1991|고기에 양념을 해서 구웠어요.|I seasoned the meat and grilled it.
2급 읽이 8과 1항 7단어|환영하다|환영해|환영합니다|환영한다|환영하면|to welcome|1995|새로운 학생을 환영해요.|I welcome the new student.
2급 읽이 3과 2항 3단어|부럽다|부러워|부럽습니다|부럽다|부러우면|to be envious|1996|친구의 성공이 부러워요.|I'm envious of my friend's success.
2급 문법 6과 8항 2단어|매장|||||store|2012|새로운 매장이 문을 열었어요.|A new store opened.
2급 읽이 2과 2항 14단어|장난감|||||toy|2014|아이들이 장난감으로 놀고 있어요.|The children are playing with toys.
2급 읽이 17과 1항 6단어|액션|||||action|2025|액션 영화를 보는 것을 좋아해요.|I like watching action movies.
2급 읽이 5과 2항 18단어|마늘|||||garlic|2027|요리에 마늘을 넣으면 맛있어요.|Food tastes good when you add garlic.
2급 읽이 4과 1항 8단어|트럭|||||truck|2041|이사할 때 트럭을 빌렸어요.|I rented a truck when moving.
2급 읽이 15과 2항 5단어|판|||||counting word for a whole pizza|2075|피자 한 판을 주문했어요.|I ordered one whole pizza.
2급 문법 16과 1항 26단어|젓다|저어|젓습니다|젓는다|저으면|to stir|2078|요리할 때 계속 저어야 해요.|You need to keep stirring while cooking.
2급 읽이 10과 2항 13단어|서류|||||document|2080|중요한 서류를 분실했어요.|I lost important documents.
2급 읽이 1과 1항 13단어|연휴|||||consecutive holidays|2090|긴 연휴에 여행을 갈 계획이에요.|I plan to travel during the long consecutive holidays.
2급 문법 14과 1항 1단어|이전|||||before|2116|이전에 살던 집이 그리워요.|I miss the house I lived in before.
2급 문법 8과 9항 14단어|씹다|씹어|씹습니다|씹는다|씹으면|to chew|2123|음식을 천천히 씹어서 드세요.|Please chew your food slowly.
2급 문법 15과 2항 3단어|현금|||||cash|2130|현금으로 계산하겠습니다.|I'll pay with cash.
2급 읽이 2과 1항 3단어|똑똑하다|똑똑해|똑똑합니다|똑똑하다|똑똑하면|to be smart|2139|우리 반에서 가장 똑똑한 학생이에요.|He's the smartest student in our class.
2급 문법 17과 2항 13단어|새 1|||||bird|2143|공원에서 예쁜 새를 봤어요.|I saw a beautiful bird in the park.
2급 문법 1과 9항 9단어|새 2|||||new|2143|새 학기가 시작됐어요.|The new semester has started.
2급 문법 11과 2항 11단어|주차장|||||parking lot|2157|주차장에 자리가 없어서 길에 댔어요.|There was no space in the parking lot so I parked on the street.
2급 문법 1과 3항 9단어|사귀다|사귀어|사귑니다|사귄다|사귀면|to make friends|2166|대학교에서 좋은 친구들을 사귀었어요.|I made good friends at university.
2급 읽이 5과 1항 3단어|설탕|||||sugar|2179|커피에 설탕을 넣어 주세요.|Please add sugar to the coffee.
2급 문법 15과 1항 8단어|날짜|||||date|2187|약속 날짜를 확인해 보세요.|Please check the appointment date.
2급 문법 5과 3항 12단어|깎다|깎아|깎습니다|깎는다|깎으면|to cut|2191|과일을 깎아서 먹었어요.|I peeled fruit and ate it.
2급 읽이 9과 1항 13단어|학기|||||semester|2192|이번 학기에 열심히 공부할 거예요.|I will study hard this semester.
2급 문법 10과 3항 2단어|당기다|당겨|당깁니다|당긴다|당기면|to pull|2198|문을 당겨서 열어 주세요.|Please pull the door to open it.
2급 읽이 1과 2항 20단어|아시아|||||Asia|2214|아시아 여러 나라를 여행하고 싶어요.|I want to travel to various countries in Asia.
2급 읽이 5과 2항 21단어|햄|||||ham|2217|샌드위치에 햄을 넣었어요.|I put ham in the sandwich.
2급 문법 17과 2항 5단어|기타|||||guitar|2243|기타를 배우고 싶어요.|I want to learn guitar.
2급 문법 20과 1항 14단어|안개|||||mist or fog|2267|안개가 껴서 운전하기 어려웠어요.|It was difficult to drive because of the fog.
2급 읽이 4과 1항 7단어|별로|||||not much, not really|2277|그 영화는 별로 재미없었어요.|That movie wasn't really interesting.
2급 문법 6과 9항 6단어|반지|||||ring|2284|결혼반지를 잃어버렸어요.|I lost my wedding ring.
2급 읽이 9과 1항 15단어|사흘|||||four days|2292|사흘 동안 부산에 있었어요.|I was in Busan for four days.
2급 읽이 9과 2항 1단어|사흘|||||three days|2292|사흘 후에 시험이 있어요.|There's an exam in three days.
2급 읽이 5과 1항 14단어|음료|||||drink or beverage|2306|목이 마르니까 음료를 사 주세요.|I'm thirsty so please buy me a drink.
2급 읽이 20과 2항 8단어|실내|||||indoor|2308|실내에서 담배를 피우면 안 돼요.|You can't smoke indoors.
2급 문법 10과 3항 7단어|접다|접어|접습니다|접는다|접으면|to fold|2319|종이를 반으로 접었어요.|I folded the paper in half.
2급 읽이 7과 1항 2단어|흰색|||||white|2326|흰색 셔츠를 입고 있어요.|I'm wearing a white shirt.
2급 읽이 5과 1항 9단어|채소|||||vegetables|2342|건강을 위해 채소를 많이 먹어요.|I eat a lot of vegetables for my health.
2급 문법 16과 2항 17단어|줄이다|줄여|줄입니다|줄인다|줄이면|to reduce|2350|체중을 줄이려고 운동하고 있어요.|I'm exercising to reduce my weight.
2급 읽이 1과 1항 20단어|잊어버리다|잊어버려|잊어버립니다|잊어버린다|잊어버리면|to forget|2354|친구의 생일을 잊어버렸어요.|I forgot my friend's birthday.
2급 문법 20과 2항 4단어|햇빛|||||sunlight or sunshine|2360|햇빛이 너무 강해서 선글라스를 썼어요.|The sunlight was too strong so I wore sunglasses.
2급 문법 6과 2항 3단어|마트|||||market|2368|마트에서 생필품을 샀어요.|I bought daily necessities at the market.
2급 읽이 17과 2항 11단어|소파|||||sofa|2383|거실 소파에서 텔레비전을 봤어요.|I watched TV on the living room sofa.
2급 문법 14과 1항 9단어|계산하다|계산해|계산합니다|계산한다|계산하면|to calculate|2385|수학 문제를 계산했어요.|I calculated the math problem.
2급 읽이 5과 2항 27단어|양파|||||onion|2412|요리할 때 양파를 많이 써요.|I use a lot of onions when cooking.
2급 문법 13과 1항 12단어|순서|||||order or sequence|2429|일을 순서대로 해 주세요.|Please do the work in order.
2급 읽이 3과 1항 12단어|남쪽|||||the south|2445|제주도는 한국의 남쪽에 있어요.|Jeju Island is in the south of Korea.
2급 읽이 5과 2항 28단어|달걀|||||egg|2446|아침에 달걀을 삶아서 먹었어요.|I boiled eggs and ate them for breakfast.
2급 읽이 5과 2항 6단어|썰다|썰어|썹니다|썬다|썰면|to cut or chop|2450|야채를 썰어서 볶았어요.|I chopped vegetables and stir-fried them.
2급 읽이 3과 1항 2단어|섬|||||island|2467|여름휴가 때 섬에 가고 싶어요.|I want to go to an island during summer vacation.
2급 읽이 1과 2항 6단어|별|||||star|2473|밤하늘에 별이 많이 보여요.|Many stars are visible in the night sky.
2급 문법 18과 1항 6단어|겉 1|||||surface|2480|사과의 겉을 깨끗하게 씻었어요.|I washed the surface of the apple clean.
2급 읽이 20과 1항 10단어|겉 2|||||outside|2480|겉은 차갑지만 속은 따뜻해요.|The outside is cold but the inside is warm.
2급 문법 18과 2항 11단어|유치원|||||Kindergarten|2483|아이가 유치원에 다니고 있어요.|My child is attending kindergarten.
2급 문법 17과 2항 15단어|오토바이|||||motorcycle|2493|오토바이를 타고 출근해요.|I commute to work by motorcycle.
2급 읽이 5과 2항 5단어|접시|||||plate|2500|음식을 접시에 담아서 내놓았어요.|I put the food on a plate and served it.
2급 읽이 6과 2항 15단어|회원|||||member|2511|헬스장 회원이 되었어요.|I became a gym member.
2급 읽이 3과 2항 11단어|서쪽|||||the west|2512|해가 서쪽으로 지고 있어요.|The sun is setting in the west.
2급 문법 7과 3항 12단어|떠들다|떠들어|떠듭니다|떠든다|떠들면|to chatter|2535|도서관에서 떠들면 안 돼요.|You shouldn't chatter in the library.
2급 읽이 10과 2항 10단어|글쎄요|||||well, let me see|2539|글쎄요, 잘 모르겠어요.|Well, I'm not sure.
2급 문법 13과 2항 15단어|봉투|||||envelope|2542|편지를 봉투에 넣어서 보냈어요.|I put the letter in an envelope and sent it.
2급 문법 7과 2항 5단어|갈아입다|갈아입어|갈아입습니다|갈아입는다|갈아입으면|to change clothes|2548|운동 후에 옷을 갈아입었어요.|I changed clothes after exercising.
2급 문법 7과 8항 5단어|월급|||||salary or paycheck|2573|이번 달 월급을 받았어요.|I received this month's salary.
2급 읽이 6과 1항 14단어|택배|||||package|2576|택배가 도착했다는 연락을 받았어요.|I received a notice that the package arrived.
2급 읽이 10과 1항 7단어|그대로|||||as it is|2594|모든 것을 그대로 두고 나왔어요.|I left everything as it is and came out.
2급 문법 10과 2항 5단어|빌려주다|빌려줘|빌려줍니다|빌려준다|빌려주면|to borrow|2599|친구에게 책을 빌려줬어요.|I lent a book to my friend.
2급 읽이 3과 1항 6단어|북쪽|||||the north|2629|북쪽에서 찬 바람이 불어와요.|Cold wind blows from the north.
2급 읽이 17과 1항 14단어|세|||||years old, age, years|2639|우리 아이가 다섯 세예요.|Our child is five years old.
2급 읽이 17과 2항 12단어|밴드|||||band|2644|좋아하는 밴드의 공연을 봤어요.|I saw a performance by my favorite band.
2급 읽이 6과 1항 13단어|도시락|||||packed lunch|2658|어머니가 도시락을 싸 주셨어요.|My mother packed a lunch for me.
2급 문법 16과 1항 19단어|긋다|그어|긋습니다|긋는다|그으면|to draw a line|2668|종이에 선을 그었어요.|I drew a line on the paper.
2급 문법 2과 2항 5단어|연예인|||||entertainer|2702|유명한 연예인을 우연히 만났어요.|I accidentally met a famous entertainer.
2급 문법 13과 2항 5단어|올려놓다|올려놔|올려놓습니다|올려놓는다|올려놓으면|to place on top of something|2703|책상 위에 컴퓨터를 올려놓았어요.|I placed the computer on top of the desk.
2급 문법 6과 3항 14단어|토마토|||||tomato|2706|샐러드에 토마토를 넣었어요.|I put tomatoes in the salad.
2급 읽이 14과 1항 12단어|글씨|||||letter or writing|2718|한글 글씨를 예쁘게 쓰고 싶어요.|I want to write Korean letters beautifully.
2급 읽이 4과 2항 1단어|거실|||||living room|2726|거실에서 가족과 함께 시간을 보내요.|I spend time with my family in the living room.
2급 읽이 5과 2항 3단어|볶다|볶아|볶습니다|볶는다|볶으면|to stir-fry, fry or roast|2731|야채를 볶아서 반찬을 만들었어요.|I stir-fried vegetables and made a side dish.
2급 문법 12과 1항 11단어|마치다|마쳐|마칩니다|마친다|마치면|to end or finish|2739|회의를 마치고 집에 갔어요.|I finished the meeting and went home.
2급 문법 17과 2항 1단어|피아노|||||piano|2758|어릴 때부터 피아노를 배웠어요.|I've been learning piano since I was young.
2급 문법 14과 1항 5단어|검색하다|검색해|검색합니다|검색한다|검색하면|to search|2771|인터넷에서 정보를 검색했어요.|I searched for information on the internet.
2급 읽이 3과 1항 15단어|동쪽|||||the east|2776|해가 동쪽에서 떠올라요.|The sun rises in the east.
2급 문법 12과 1항 4단어|외우다|외워|외웁니다|외운다|외우면|to memorize|2809|영어 단어를 외우고 있어요.|I'm memorizing English words.
2급 문법 18과 1항 14단어|연기하다|연기해|연기합니다|연기한다|연기하면|to postpone|2825|비 때문에 소풍을 연기했어요.|We postponed the picnic because of rain.
2급 문법 10과 3항 5단어|밀다|밀어|밉니다|민다|밀면|to push|2881|무거운 상자를 밀어서 옮겼어요.|I pushed the heavy box to move it.
2급 읽이 5과 1항 20단어|소고기|||||beef|2884|소고기로 불고기를 만들었어요.|I made bulgogi with beef.
2급 문법 13과 2항 9단어|길이|||||length|2901|이 책상의 길이가 얼마나 돼요?|What is the length of this desk?
2급 문법 12과 1항 14단어|질문하다|질문해|질문합니다|질문한다|질문하면|to ask a question|2924|궁금한 것이 있으면 질문하세요.|If you have questions, please ask.
2급 읽이 5과 2항 25단어|버섯|||||mushroom|2947|버섯을 넣어서 찌개를 끓였어요.|I made stew by adding mushrooms.
2급 문법 10과 3항 9단어|펴다|펴|펍니다|편다|펴면|to unfold or spread|2977|신문을 펴서 뉴스를 읽었어요.|I unfolded the newspaper and read the news.
2급 읽이 3과 2항 6단어|신선하다|신선해|신선합니다|신선하다|신선하면|to be fresh|2979|이 생선은 아주 신선해요.|This fish is very fresh.
2급 읽이 4과 2항 2단어|부엌|||||kitchen|2984|부엌에서 저녁을 준비하고 있어요.|I'm preparing dinner in the kitchen.
2급 읽이 19과 1항 18단어|해변|||||seashore or beach|2999|여름에는 해변에서 수영해요.|I swim at the beach in summer.
2급 읽이 10과 2항 16단어|퇴근하다|퇴근해|퇴근합니다|퇴근한다|퇴근하면|to leave one's office or get off from work|3001|6시에 퇴근해서 집에 갔어요.|I left work at 6 o'clock and went home.
2급 문법 4과 9항 4단어|식탁|||||table|3006|식탁에 앉아서 밥을 먹었어요.|I sat at the table and ate rice.
2급 문법 17과 2항 9단어|연극|||||play|3015|주말에 연극을 보러 갔어요.|I went to see a play on the weekend.
2급 읽이 18과 1항 2단어|취소하다|취소해|취소합니다|취소한다|취소하면|to cancel|3028|비행기 표를 취소했어요.|I cancelled the plane ticket.
2급 읽이 6과 2항 4단어|장갑|||||gloves|3047|추워서 장갑을 끼고 나갔어요.|It was cold so I went out wearing gloves.
2급 읽이 9과 2항 10단어|취소|||||cancellation|3049|예약 취소를 하고 싶어요.|I want to make a reservation cancellation.
2급 읽이 4과 1항 11단어|에어컨|||||air conditioner|3071|더워서 에어컨을 켰어요.|It was hot so I turned on the air conditioner.
2급 읽이 13과 1항 3단어|계좌|||||account|3091|새로운 은행 계좌를 만들었어요.|I created a new bank account.
2급 읽이 3과 2항 1단어|그립다|그리워|그립습니다|그립다|그리우면|to miss or long for|3117|고향이 그리워서 편지를 썼어요.|I missed my hometown so I wrote a letter.
2급 읽이 11과 2항 3단어|주차|||||parking|3123|주차할 곳을 찾고 있어요.|I'm looking for a place to park.
2급 문법 6과 9항 3단어|목걸이|||||necklace|3142|어머니께 목걸이를 선물드렸어요.|I gave my mother a necklace as a gift.
2급 읽이 7과 1항 15단어|베스트|||||best|3162|이번 시험에서 베스트를 다했어요.|I did my best on this exam.
2급 읽이 16과 2항 19단어|알|||||pill|3165|하루에 세 번 알을 먹어야 해요.|You need to take pills three times a day.
2급 읽이 11과 2항 8단어|퇴근|||||leave one's office or get off of work|3184|퇴근 시간이 되어서 집에 갔어요.|It was time to get off work so I went home.
2급 읽이 8과 1항 8단어|초대하다|초대해|초대합니다|초대한다|초대하면|to invite|3190|친구들을 생일파티에 초대했어요.|I invited friends to my birthday party.
2급 읽이 7과 2항 8단어|하얗다|하얘|하얗습니다|하얗다|하야면|to be white|3192|눈이 와서 길이 하얗게 변했어요.|It snowed so the road turned white.
2급 읽이 2과 2항 16단어|대전|||||Daejeon|3227|대전에 사는 친구를 만나러 갔어요.|I went to meet a friend who lives in Daejeon.
2급 읽이 1과 2항 8단어|졸업하다|졸업해|졸업합니다|졸업한다|졸업하면|to graduate|3239|내년에 대학교를 졸업할 예정이에요.|I plan to graduate from university next year.
2급 문법 11과 1항 16단어|요금|||||rate or fee|3245|버스 요금이 올라서 부담스러워요.|The bus fare went up so it's burdensome.
2급 읽이 19과 1항 11단어|요금|||||charge or rate|3245|호텔 요금을 미리 확인해 보세요.|Please check the hotel rates in advance.
2급 읽이 15과 2항 15단어|파스타|||||pasta|3249|이탈리아 식당에서 파스타를 먹었어요.|I ate pasta at an Italian restaurant.
2급 문법 14과 1항 11단어|통화하다|통화해|통화합니다|통화한다|통화하면|to speak over the phone|3278|친구와 한 시간 동안 통화했어요.|I spoke with my friend on the phone for an hour.
2급 읽이 5과 2항 33단어|끓다|끓어|끓습니다|끓는다|끓으면|to boil|3296|물이 끓으면 라면을 넣으세요.|When the water boils, add the ramen.
2급 읽이 8과 2항 10단어|샐러드|||||salad|3298|다이어트를 위해 샐러드만 먹었어요.|I only ate salad for my diet.
2급 읽이 2과 2항 1단어|조카|||||nephew or niece|3333|조카가 너무 귀여워요.|My nephew/niece is so cute.
2급 문법 2과 8항 2단어|조카|||||niece|3333|조카를 돌봐주러 언니 집에 갔어요.|I went to my sister's house to take care of my niece.
2급 읽이 2과 1항 6단어|착하다|착해|착합니다|착하다|착하면|to be good-natured or nice|3347|우리 반 친구들은 모두 착해요.|All the friends in our class are good-natured.
2급 문법 11과 1항 13단어|손잡이|||||doorknob|3358|문 손잡이가 고장나서 문을 열 수 없어요.|The doorknob is broken so I can't open the door.
2급 읽이 4과 1항 10단어|싣다|실어|싣습니다|싣는다|실으면|to load up|3375|트럭에 짐을 실어서 이사했어요.|I loaded luggage onto the truck and moved.
2급 읽이 8과 1항 1단어|동아리|||||student club|3393|대학교에서 음악 동아리에 들어갔어요.|I joined a music club at university.
2급 읽이 7과 2항 12단어|갈색|||||brown|3432|갈색 코트를 입고 있어요.|I'm wearing a brown coat.
2급 읽이 17과 2항 13단어|악기|||||musical instrument|3440|피아노는 제가 좋아하는 악기예요.|Piano is my favorite musical instrument.
2급 문법 12과 1항 15단어|출석하다|출석해|출석합니다|출석한다|출석하면|to attend or be present|3452|모든 수업에 출석해야 해요.|You must attend all classes.
2급 읽이 7과 2항 6단어|까맣다|까매|까맣습니다|까맣다|까마면|to be black|3485|밤하늘이 까매서 별이 잘 보여요.|The night sky is black so the stars are clearly visible.
2급 문법 16과 1항 25단어|잇다|이어|잇습니다|잇는다|이으면|to join or connect|3516|두 도시를 잇는 다리가 있어요.|There's a bridge that connects the two cities.
2급 읽이 9과 2항 15단어|일주일|||||one week|3538|일주일 후에 시험이 있어요.|There's an exam in one week.
2급 읽이 19과 2항 8단어|전주|||||Jeonju|3553|전주 비빔밥이 유명해요.|Jeonju bibimbap is famous.
2급 문법 12과 2항 9단어|등록|||||registration|3558|수강 등록을 마쳤어요.|I completed course registration.
2급 읽이 3과 1항 1단어|빌딩|||||building|3569|우리 회사는 새 빌딩으로 이사했어요.|Our company moved to a new building.
2급 읽이 19과 2항 5단어|가이드|||||tour guide|3625|여행 가이드가 친절하게 설명해 줬어요.|The tour guide kindly explained to us.
2급 읽이 6과 2항 11단어|상가|||||shopping mall|3627|지하 상가에서 쇼핑했어요.|I shopped at the underground shopping mall.
2급 읽이 5과 1항 7단어|비비다|비벼|비빕니다|비빈다|비비면|to mix|3635|비빔밥을 잘 비벼서 드세요.|Please mix the bibimbap well and eat it.
2급 읽이 10과 2항 1단어|실례하다|실례해|실례합니다|실례한다|실례하면|excuse me|3655|실례합니다만, 길을 물어봐도 될까요?|Excuse me, may I ask for directions?
2급 읽이 1과 2항 26단어|유학|||||study abroad, international study|3693|미국으로 유학을 가고 싶어요.|I want to go study abroad in America.
2급 문법 13과 1항 3단어|우선|||||first|3696|우선 숙제부터 끝내세요.|First finish your homework.
2급 읽이 5과 2항 20단어|돼지고기|||||pork|3710|돼지고기로 제육볶음을 만들었어요.|I made stir-fried pork with pork.
2급 문법 2과 8항 1단어|친척|||||relatives|3722|추석에는 친척들과 만나요.|I meet relatives during Chuseok.
2급 문법 8과 9항 11단어|휴지|||||toilet paper or tissue|3740|감기에 걸려서 휴지가 많이 필요해요.|I caught a cold so I need a lot of tissues.
2급 읽이 8과 1항 10단어|보라색|||||purple|3747|보라색 꽃이 아름다워요.|The purple flowers are beautiful.
2급 문법 19과 1항 7단어|객실|||||guestroom|3750|호텔 객실이 깨끗하고 넓어요.|The hotel guestroom is clean and spacious.
2급 읽이 2과 1항 14단어|지루하다|지루해|지루합니다|지루하다|지루하면|to be boring or tedious|3755|그 영화는 너무 지루했어요.|That movie was too boring.
2급 읽이 5과 2항 4단어|냄비|||||pot|3790|냄비에 물을 끓이고 있어요.|I'm boiling water in the pot.
2급 읽이 5과 2항 8단어|덜다|덜어|덥니다 |던다 |덜면|to put|3795|그릇에 밥을 덜어 주세요.|Please put rice in the bowl.
2급 문법 6과 3항 8단어|배추|||||Chinese cabbage|3801|김치를 담그려면 배추가 필요해요.|You need Chinese cabbage to make kimchi.
2급 문법 2과 9항 1단어|고모|||||aunt on the father's side|3812|고모께서 선물을 보내 주셨어요.|My aunt sent me a present.
2급 문법 5과 9항 1단어|감자|||||potato|3818|감자를 삶아서 먹었어요.|I boiled potatoes and ate them.
2급 읽이 5과 1항 24단어|반찬|||||side dish|3820|어머니가 맛있는 반찬을 만들어 주셨어요.|My mother made delicious side dishes.
2급 문법 13과 1항 9단어|도장|||||seal or stamp|3841|서류에 도장을 찍어야 해요.|You need to stamp the documents.
2급 읽이 7과 1항 10단어|회색|||||gray|3856|회색 양복을 입고 회사에 갔어요.|I wore a gray suit and went to the company.
2급 읽이 16과 2항 14단어|도움|||||help|3887|친구의 도움으로 숙제를 끝냈어요.|I finished my homework with my friend's help.
2급 읽이 3과 1항 18단어|네덜란드|||||Netherlands|3938|네덜란드에서 온 친구가 있어요.|I have a friend from the Netherlands.
2급 읽이 7과 2항 10단어|사실|||||fact|3965|사실을 말해 주세요.|Please tell me the facts.
2급 문법 6과 3항 15단어|포스터|||||poster|3973|벽에 영화 포스터를 붙였어요.|I put a movie poster on the wall.
2급 문법 16과 2항 11단어|몸무게|||||person's weight|3977|다이어트해서 몸무게가 줄었어요.|I lost weight from dieting.
2급 문법 15과 1항 11단어|연락처|||||contact information|3989|친구의 연락처를 잃어버렸어요.|I lost my friend's contact information.
2급 읽이 5과 1항 21단어|국|||||soup or broth|3993|추운 날에는 따뜻한 국이 맛있어요.|Hot soup is delicious on cold days.
2급 읽이 5과 2항 31단어|참기름|||||sesame oil|4010|나물에 참기름을 넣어서 무쳤어요.|I seasoned the vegetables with sesame oil.
2급 문법 14과 1항 10단어|녹음하다|녹음해|녹음합니다|녹음한다|녹음하면|to record|4012|수업 내용을 녹음했어요.|I recorded the class content.
2급 문법 5과 3항 1단어|고추장|||||gochujang (red pepper paste)|4019|비빔밥에 고추장을 넣어서 비볐어요.|I mixed bibimbap with gochujang.
2급 문법 15과 1항 12단어|연말|||||end of the year|4032|연말에는 모임이 많아요.|There are many gatherings at the end of the year.
2급 읽이 5과 2항 2단어|삶다|삶아|삶습니다|삶는다|삶으면|to boil|4061|계란을 삶아서 먹었어요.|I boiled eggs and ate them.
